"order_number","product","customer_id","date","price"
136784,"GBDGF",70570,2020-01-29,29
342582,"GBDGF",67718,2020-06-23,29
442917,"GBDGF",29733,2020-03-10,29
546738,"GBDGF",61531,2020-04-14,29
101787,"GBDGF",13566,2020-07-04,29
249704,"GBDGF",13069,2020-12-28,29
276604,"GBDGF",93348,2020-12-27,29
372555,"GBDGF",99400,2020-12-28,29
665462,"GBDGF",46741,2020-08-03,29
826049,"GBDGF",25901,2020-06-18,29
814843,"GBDGF",37804,2020-08-11,29
581531,"GBDGF",87040,2020-08-09,29
123624,"GBDGF",22996,2020-02-21,29
887405,"GBDGF",64844,2020-02-22,29
649975,"GBDGF",56274,2020-01-18,29
493691,"GBDGF",59479,2020-02-05,29
733322,"GBDGF",46736,2020-07-16,29
593365,"GBDGF",39409,2020-03-09,29
733082,"GBDGF",70929,2020-02-23,29
133376,"GBDGF",63704,2020-06-07,29
2249,"GBDGF",16230,2020-04-25,29
364407,"GBDGF",31518,2020-07-17,29
852848,"GBDGF",61887,2020-03-20,29
758522,"GBDGF",85201,2020-08-20,29
266956,"GBDGF",66754,2020-05-26,29
782311,"GBDGF",47161,2020-02-25,29
228850,"GBDGF",44288,2020-03-27,29
939022,"GBDGF",75928,2020-06-19,29
825691,"GBDGF",34280,2020-12-12,29
264718,"GBDGF",66491,2020-05-22,29
814326,"GBDGF",77155,2020-11-03,29
546179,"GBDGF",36583,2020-04-15,29
763410,"GBDGF",57373,2020-07-13,29
518180,"GBDGF",84367,2020-12-25,29
300402,"GBDGF",32369,2020-05-07,29
120497,"GBDGF",60523,2020-02-03,29
610107,"GBDGF",69084,2020-05-01,29
501713,"GBDGF",79880,2020-04-21,29
356538,"GBDGF",13819,2020-07-15,29
88182,"GBDGF",70856,2020-01-28,29
922347,"GBDGF",94885,2020-03-08,29
580530,"GBDGF",84437,2020-11-14,29
491237,"GBDGF",43090,2020-06-15,29
265767,"GBDGF",63254,2020-02-18,29
255011,"GBDGF",25186,2020-07-26,29
200468,"GBDGF",85419,2020-11-26,29
646361,"GBDGF",90005,2020-03-10,29
155226,"GBDGF",43556,2020-07-10,29
22576,"GBDGF",14995,2020-04-13,29
124661,"GBDGF",54998,2020-11-20,29
342505,"GBDGF",59567,2020-06-26,29
516351,"GBDGF",21979,2020-02-19,29
904626,"GBDGF",39800,2020-02-27,29
845094,"GBDGF",82183,2020-06-16,29
15936,"GBDGF",64441,2020-05-02,29
21283,"GBDGF",10009,2020-02-22,29
161702,"GBDGF",50987,2020-07-11,29
688402,"GBDGF",72926,2020-04-16,29
881053,"GBDGF",57378,2020-03-09,29
462877,"GBDGF",73713,2020-07-27,29
145693,"GBDGF",86708,2020-11-11,29
624841,"GBDGF",23979,2020-06-18,29
856369,"GBDGF",12644,2020-04-01,29
377470,"GBDGF",21997,2020-03-31,29
515574,"GBDGF",88408,2020-02-27,29
754979,"GBDGF",71895,2020-06-23,29
659613,"GBDGF",96350,2020-04-12,29
437545,"GBDGF",87549,2020-06-30,29
861368,"GBDGF",58599,2020-04-07,29
479008,"GBDGF",92858,2020-08-07,29
407902,"GBDGF",49178,2020-05-23,29
493558,"GBDGF",92109,2020-03-24,29
627085,"GBDGF",48906,2020-06-04,29
399212,"GBDGF",72054,2020-03-02,29
456787,"GBDGF",38347,2020-01-17,29
401066,"GBDGF",31083,2020-12-28,29
131152,"GBDGF",30183,2020-06-07,29
389830,"GBDGF",11915,2020-08-21,29
705459,"GBDGF",37163,2020-08-12,29
767394,"GBDGF",87870,2020-03-13,29
989691,"GBDGF",78078,2020-05-18,29
324929,"GBDGF",70150,2020-12-02,29
262183,"GBDGF",15097,2020-07-14,29
791767,"GBDGF",24403,2020-12-09,29
198772,"GBDGF",98165,2020-12-24,29
155504,"GBDGF",72282,2020-04-30,29
538242,"GBDGF",38208,2020-03-20,29
697115,"GBDGF",10937,2020-11-02,29
636634,"GBDGF",32498,2020-05-15,29
417894,"GBDGF",92417,2020-06-23,29
840106,"GBDGF",99035,2020-12-29,29
773539,"GBDGF",48752,2020-05-08,29
281860,"GBDGF",54105,2020-03-04,29
833746,"GBDGF",60924,2020-04-27,29
824569,"GBDGF",72188,2020-05-23,29
641651,"GBDGF",45360,2020-07-28,29
373291,"GBDGF",80657,2020-04-25,29
179518,"GBDGF",56676,2020-05-05,29
215220,"GBDGF",76781,2020-11-25,29
534949,"GBDGF",33379,2020-03-23,29
627057,"GBDGF",26507,2020-07-28,29
931906,"GBDGF",88932,2020-01-02,29
185894,"GBDGF",37387,2020-12-31,29
822934,"GBDGF",57633,2020-05-25,29
715667,"GBDGF",26902,2020-12-30,29
710421,"GBDGF",13287,2020-06-05,29
554224,"GBDGF",98269,2020-06-02,29
636664,"GBDGF",54171,2020-12-19,29
140410,"GBDGF",88717,2020-06-17,29
635936,"GBDGF",75802,2020-05-05,29
874751,"GBDGF",12026,2020-03-17,29
679625,"GBDGF",46713,2020-03-19,29
16771,"GBDGF",27928,2020-06-20,29
798963,"GBDGF",64061,2020-08-20,29
195350,"GBDGF",22479,2020-04-27,29
932195,"GBDGF",93543,2020-01-05,29
671086,"GBDGF",74417,2020-04-28,29
675395,"GBDGF",20274,2020-07-27,29
244685,"GBDGF",29033,2020-06-01,29
847081,"GBDGF",74626,2020-02-21,29
195653,"GBDGF",96272,2020-03-28,29
386583,"GBDGF",97720,2020-03-28,29
901874,"GBDGF",38291,2020-06-25,29
517656,"GBDGF",81321,2020-08-14,29
325665,"GBDGF",15820,2020-01-12,29
289377,"GBDGF",65857,2020-04-09,29
351006,"GBDGF",17370,2020-08-17,29
253606,"GBDGF",76181,2020-05-07,29
111609,"GBDGF",32952,2020-03-11,29
387766,"GBDGF",11957,2020-07-14,29
587649,"GBDGF",30815,2020-12-29,29
387906,"GBDGF",43156,2020-12-18,29
321426,"GBDGF",19611,2020-05-08,29
405369,"GBDGF",33013,2020-05-01,29
324374,"GBDGF",99297,2020-08-25,29
892546,"GBDGF",98506,2020-08-30,29
894125,"GBDGF",48258,2020-06-01,29
516323,"GBDGF",54143,2020-07-18,29
449486,"GBDGF",16606,2020-03-04,29
233542,"GBDGF",26672,2020-04-20,29
41573,"GBDGF",78477,2020-06-24,29
73667,"GBDGF",63254,2020-08-14,29
727153,"GBDGF",71857,2020-11-21,29
98984,"GBDGF",14603,2020-01-16,29
428039,"GBDGF",44051,2020-03-31,29
770241,"GBDGF",12418,2020-11-08,29
591710,"GBDGF",18618,2020-06-20,29
721386,"GBDGF",33630,2020-07-04,29
516615,"GBDGF",70135,2020-04-12,29
907763,"GBDGF",24222,2020-06-21,29
434914,"GBDGF",18206,2020-08-22,29
564449,"GBDGF",84663,2020-03-16,29
402523,"GBDGF",34488,2020-06-08,29
22866,"GBDGF",89391,2020-07-29,29
399345,"GBDGF",19666,2020-04-09,29
763851,"GBDGF",43770,2020-02-20,29
887527,"GBDGF",72196,2020-05-01,29
284975,"GBDGF",96284,2020-06-10,29
277458,"GBDGF",95235,2020-06-26,29
845818,"GBDGF",86657,2020-03-07,29
652437,"GBDGF",71981,2020-12-05,29
217388,"GBDGF",49027,2020-01-05,29
267989,"GBDGF",18728,2020-08-27,29
458369,"GBDGF",29513,2020-06-29,29
802533,"GBDGF",16769,2020-05-25,29
361295,"GBDGF",95792,2020-11-23,29
574887,"GBDGF",88289,2020-05-30,29
89737,"GBDGF",72581,2020-04-08,29
923223,"GBDGF",35552,2020-08-10,29
483400,"GBDGF",68409,2020-12-29,29
607374,"GBDGF",87756,2020-03-22,29
515191,"GBDGF",90821,2020-01-26,29
7853,"GBDGF",91506,2020-07-27,29
180910,"GBDGF",96610,2020-04-16,29
222489,"GBDGF",80403,2020-11-28,29
71966,"GBDGF",38889,2020-03-28,29
675157,"GBDGF",23218,2020-06-23,29
952858,"GBDGF",56981,2020-12-23,29
13227,"GBDGF",22682,2020-04-29,29
328446,"GBDGF",56625,2020-05-04,29
866935,"GBDGF",21732,2020-05-01,29
844921,"GBDGF",50932,2020-08-14,29
115155,"GBDGF",65272,2020-11-08,29
644238,"GBDGF",93288,2020-07-27,29
444519,"GBDGF",75201,2020-03-23,29
877260,"GBDGF",72893,2020-07-24,29
667872,"GBDGF",41825,2020-08-31,29
813004,"GBDGF",98032,2020-01-03,29
558956,"GBDGF",96833,2020-05-22,29
566960,"GBDGF",82914,2020-01-15,29
539994,"GBDGF",94347,2020-12-25,29
195247,"GBDGF",67063,2020-02-25,29
119381,"GBDGF",50843,2020-04-02,29
189095,"GBDGF",70209,2020-06-22,29
547830,"GBDGF",28717,2020-08-26,29
35250,"GBDGF",62009,2020-06-02,29
985633,"GBDGF",52325,2020-02-25,29
466191,"GBDGF",55534,2020-05-01,29
480176,"GBDGF",66283,2020-03-17,29
589806,"GBDGF",78121,2020-12-07,29
937485,"GBDGF",84011,2020-04-16,29
77601,"GBDGF",82968,2020-12-13,29
41254,"GBDGF",60620,2020-08-02,29
671124,"GBDGF",88664,2020-01-31,29
764234,"GBDGF",32996,2020-03-22,29
888505,"GBDGF",61286,2020-02-21,29
693982,"GBDGF",19330,2020-08-28,29
417909,"GBDGF",65150,2020-07-17,29
451534,"GBDGF",61013,2020-05-23,29
331612,"GBDGF",68703,2020-12-31,29
71764,"GBDGF",36424,2020-06-13,29
379577,"GBDGF",53845,2020-06-24,29
768512,"GBDGF",61914,2020-07-23,29
190010,"GBDGF",12768,2020-05-18,29
62321,"GBDGF",39883,2020-07-24,29
213421,"GBDGF",53383,2020-12-15,29
966435,"GBDGF",45730,2020-06-14,29
771858,"GBDGF",97158,2020-06-25,29
508724,"GBDGF",43012,2020-07-21,29
119779,"GBDGF",86708,2020-08-26,29
663447,"GBDGF",73503,2020-04-13,29
981929,"GBDGF",78998,2020-07-01,29
258997,"GBDGF",34560,2020-01-16,29
203085,"GBDGF",99179,2020-11-01,29
806470,"GBDGF",94916,2020-06-17,29
91369,"GBDGF",31039,2020-04-08,29
847928,"GBDGF",87203,2020-12-10,29
328073,"GBDGF",57837,2020-04-17,29
